id,age,gender,size,breed
46744842,Adult,Female,Medium,Abyssinian
46717321,Adult,Male,Extra Large,Abyssinian
46626338,Senior,Female,Medium,Abyssinian
46620170,Baby,Female,Small,Abyssinian
46582751,Young,Female,Medium,Abyssinian
46503423,Young,Male,Medium,Abyssinian
46463847,Adult,Male,Medium,Abyssinian
46378434,Baby,Male,Small,Abyssinian
46372312,Baby,Male,Small,Abyssinian
46305208,Senior,Male,Medium,Abyssinian
46293180,Young,Male,Small,Abyssinian
46268318,Baby,Female,Medium,Abyssinian
46267252,Adult,Male,Medium,Abyssinian
46262849,Adult,Female,Medium,Abyssinian
46259475,Young,Male,Medium,Abyssinian
46251119,Baby,Male,Medium,Abyssinian
46226177,Senior,Female,Small,Abyssinian
46167255,Young,Male,Small,Abyssinian
46105561,Baby,Female,Medium,Abyssinian
46105551,Baby,Male,Medium,Abyssinian
46004141,Baby,Female,Medium,Abyssinian
46003742,Adult,Female,Medium,Abyssinian
46003585,Adult,Female,Medium,Abyssinian
46003116,Baby,Male,Medium,Abyssinian
46002278,Baby,Female,Medium,Abyssinian
46002248,Young,Female,Medium,Abyssinian
46002027,Baby,Male,Medium,Abyssinian
46001333,Baby,Female,Medium,Abyssinian
46000460,Baby,Male,Medium,Abyssinian
45999482,Baby,Female,Medium,Abyssinian
46000817,Adult,Female,Medium,Abyssinian
45997545,Baby,Female,Medium,Abyssinian
46000606,Baby,Female,Medium,Abyssinian
45997474,Baby,Male,Medium,Abyssinian
45997305,Adult,Female,Medium,Abyssinian
45999770,Baby,Male,Medium,Abyssinian
45997693,Baby,Female,Medium,Abyssinian
45997661,Baby,Male,Medium,Abyssinian
45996727,Baby,Male,Medium,Abyssinian
45996707,Baby,Female,Medium,Abyssinian
45995835,Baby,Male,Medium,Abyssinian
45995117,Baby,Female,Medium,Abyssinian
45996549,Baby,Female,Medium,Abyssinian
45996433,Adult,Female,Medium,Abyssinian
45994835,Baby,Female,Medium,Abyssinian
45995527,Baby,Male,Medium,Abyssinian
45994758,Adult,Female,Medium,Abyssinian
45995934,Young,Female,Medium,Abyssinian
45994521,Baby,Female,Medium,Abyssinian
45993950,Young,Female,Medium,Abyssinian
45993745,Baby,Female,Medium,Abyssinian
45994029,Young,Female,Medium,Abyssinian
45993430,Baby,Male,Medium,Abyssinian
45992545,Baby,Male,Medium,Abyssinian
45948803,Young,Male,Small,Abyssinian
45938991,Adult,Male,Medium,Abyssinian
45859276,Young,Female,Small,Abyssinian
45820394,Young,Female,Medium,Abyssinian
45818888,Adult,Male,Medium,Abyssinian
45818386,Adult,Female,Small,Abyssinian
45809064,Young,Male,Large,Abyssinian
45809083,Adult,Male,Large,Abyssinian
45799083,Young,Female,Small,Abyssinian
45549266,Young,Female,Medium,Abyssinian
45537021,Young,Female,Small,Abyssinian
45457706,Baby,Female,Small,Abyssinian
45350203,Senior,Female,Medium,Abyssinian
45269682,Baby,Female,Medium,Abyssinian
45264277,Senior,Male,Large,Abyssinian
45162546,Young,Female,Medium,Abyssinian
45019162,Baby,Female,Small,Abyssinian
45013917,Baby,Female,Small,Abyssinian
44972038,Young,Female,Small,Abyssinian
44947029,Adult,Male,Medium,Abyssinian
44927473,Adult,Male,Medium,Abyssinian
46627369,Baby,Male,Small,American Bobtail
46612353,Baby,Female,Small,American Bobtail
46612245,Baby,Male,Small,American Bobtail
46407781,Young,Male,Medium,American Bobtail
46355896,Adult,Female,Medium,American Bobtail
46330160,Adult,Female,Medium,American Bobtail
46299337,Baby,Female,Medium,American Bobtail
46289156,Baby,Male,Large,American Bobtail
46194971,Young,Female,Small,American Bobtail
46002240,Baby,Male,Medium,American Bobtail
45995325,Baby,Male,Medium,American Bobtail
45993222,Adult,Female,Medium,American Bobtail
45992549,Baby,Female,Medium,American Bobtail
45898187,Adult,Male,Large,American Bobtail
45859400,Adult,Male,Medium,American Bobtail
45819414,Adult,Male,Medium,American Bobtail
45819340,Adult,Female,Medium,American Bobtail
45819389,Adult,Male,Medium,American Bobtail
45814783,Adult,Male,Medium,American Bobtail
45762812,Adult,Male,Small,American Bobtail
45695191,Baby,Female,Medium,American Bobtail
45695163,Baby,Male,Medium,American Bobtail
45599205,Baby,Female,Medium,American Bobtail
45487778,Baby,Male,Small,American Bobtail
45460957,Baby,Female,Small,American Bobtail
45401907,Baby,Male,Medium,American Bobtail
45398522,Baby,Female,Medium,American Bobtail
45381001,Baby,Female,Medium,American Bobtail
45380409,Baby,Female,Medium,American Bobtail
45380301,Baby,Female,Medium,American Bobtail
45344382,Young,Female,Medium,American Bobtail
45340614,Adult,Male,Medium,American Bobtail
45311781,Young,Female,Medium,American Bobtail
45310511,Baby,Male,Medium,American Bobtail
45238104,Young,Female,Small,American Bobtail
45237824,Adult,Male,Large,American Bobtail
45118817,Baby,Male,Medium,American Bobtail
45103436,Baby,Female,Medium,American Bobtail
44921814,Adult,Male,Large,American Bobtail
44810816,Adult,Male,Large,American Bobtail
44764186,Adult,Male,Medium,American Bobtail
44762069,Baby,Female,Medium,American Bobtail
44719213,Baby,Male,Medium,American Bobtail
44701357,Baby,Female,Small,American Bobtail
44678560,Adult,Male,Large,American Bobtail
44636872,Baby,Male,Medium,American Bobtail
44601068,Adult,Male,Medium,American Bobtail
44559150,Adult,Female,Medium,American Bobtail
44477468,Young,Female,Small,American Bobtail
44476641,Adult,Female,Small,American Bobtail
44466572,Adult,Female,Medium,American Bobtail
44331214,Adult,Male,Large,American Bobtail
44231762,Adult,Female,Medium,American Bobtail
44051338,Baby,Female,Medium,American Bobtail
44004421,Adult,Male,Medium,American Bobtail
43965366,Baby,Male,Medium,American Bobtail
43945222,Young,Male,Large,American Bobtail
43898682,Adult,Female,Medium,American Bobtail
43892093,Young,Male,Medium,American Bobtail
43710498,Young,Male,Extra Large,American Bobtail
43677125,Baby,Female,Medium,American Bobtail
43512822,Baby,Male,Medium,American Bobtail
43512805,Baby,Male,Medium,American Bobtail
43418896,Young,Male,Small,American Bobtail
43374782,Baby,Male,Medium,American Bobtail
43277968,Baby,Male,Medium,American Bobtail
43277679,Adult,Female,Medium,American Bobtail
43277645,Baby,Female,Medium,American Bobtail
43258691,Baby,Male,Small,American Bobtail
43258669,Baby,Female,Small,American Bobtail
43237488,Adult,Female,Medium,American Bobtail
43203677,Adult,Female,Medium,American Bobtail
43199410,Young,Male,Medium,American Bobtail
43104550,Young,Male,Medium,American Bobtail
43041065,Baby,Male,Medium,American Bobtail
43041064,Baby,Male,Medium,American Bobtail
43029697,Adult,Female,Medium,American Bobtail
43027095,Young,Male,Medium,American Bobtail
42974126,Baby,Female,Medium,American Bobtail
46738175,Baby,Male,Small,American Curl
46724976,Baby,Male,Small,American Curl
46682649,Baby,Female,Small,American Curl
46354776,Adult,Male,Large,American Curl
46343414,Young,Male,Large,American Curl
46186310,Young,Male,Medium,American Curl
45667672,Adult,Female,Medium,American Curl
44991715,Baby,Female,Small,American Curl
44583103,Young,Female,Medium,American Curl
44573171,Adult,Female,Medium,American Curl
43911617,Adult,Male,Large,American Curl
43128876,Baby,Female,Medium,American Curl
42928296,Young,Male,Medium,American Curl
42737906,Adult,Male,Medium,American Curl
42491663,Adult,Male,Medium,American Curl
41609498,Young,Male,Large,American Curl
41067046,Adult,Male,Extra Large,American Curl
40649010,Adult,Female,Medium,American Curl
40545985,Adult,Female,Medium,American Curl
40545939,Adult,Female,Medium,American Curl
40205864,Baby,Male,Small,American Curl
39514431,Adult,Female,Medium,American Curl
38694359,Young,Male,Large,American Curl
38265804,Adult,Male,Medium,American Curl
38259787,Baby,Male,Small,American Curl
38160624,Adult,Female,Medium,American Curl
37540505,Young,Female,Medium,American Curl
37514039,Young,Female,Medium,American Curl
37166571,Adult,Male,Medium,American Curl
35655642,Adult,Male,Medium,American Curl
35377853,Adult,Female,Medium,American Curl
35088112,Adult,Female,Small,American Curl
34954363,Baby,Female,Medium,American Curl
34918857,Adult,Female,Medium,American Curl
34494866,Adult,Female,Small,American Curl
34305808,Young,Female,Medium,American Curl
33976396,Adult,Female,Large,American Curl
33887774,Young,Male,Large,American Curl
33887647,Young,Female,Small,American Curl
33632772,Adult,Male,Medium,American Curl
33190441,Young,Male,Large,American Curl
33104884,Adult,Female,Medium,American Curl
32966628,Young,Male,Medium,American Curl
32456436,Adult,Female,Small,American Curl
32436970,Young,Male,Medium,American Curl
32028217,Young,Female,Small,American Curl
31769344,Young,Female,Medium,American Curl
31507899,Baby,Female,Medium,American Curl
31299622,Adult,Female,Medium,American Curl
31062180,Adult,Male,Small,American Curl
31044132,Adult,Female,Medium,American Curl
30795169,Baby,Male,Large,American Curl
30593126,Adult,Female,Large,American Curl
30436251,Young,Female,Medium,American Curl
29529103,Adult,Male,Large,American Curl
29493563,Senior,Female,Medium,American Curl
28942467,Young,Male,Medium,American Curl
28932833,Adult,Female,Medium,American Curl
28932767,Adult,Female,Medium,American Curl
28747986,Baby,Male,Small,American Curl
28482362,Young,Female,Medium,American Curl
28384731,Adult,Female,Large,American Curl
28052091,Young,Female,Small,American Curl
28052084,Young,Female,Small,American Curl
28052074,Young,Female,Small,American Curl
27875585,Young,Female,Medium,American Curl
27294719,Young,Female,Medium,American Curl
27079690,Senior,Female,Medium,American Curl
26695752,Adult,Female,Medium,American Curl
25948881,Young,Female,Medium,American Curl
25607087,Young,Male,Medium,American Curl
24859411,Adult,Female,Small,American Curl
24859283,Adult,Female,Small,American Curl
46750659,Baby,Male,Small,American Shorthair
46750658,Young,Male,Small,American Shorthair
46750660,Young,Female,Small,American Shorthair
46750466,Baby,Male,Small,American Shorthair
46750463,Baby,Female,Small,American Shorthair
46750227,Young,Female,Medium,American Shorthair
46749865,Baby,Male,Small,American Shorthair
46749681,Young,Female,Small,American Shorthair
46749674,Young,Female,Medium,American Shorthair
46749675,Young,Male,Small,American Shorthair
46749682,Young,Male,Small,American Shorthair
46745061,Young,Male,Medium,American Shorthair
46744853,Adult,Male,Large,American Shorthair
46744506,Adult,Male,Medium,American Shorthair
46742723,Adult,Male,Small,American Shorthair
46742727,Adult,Male,Small,American Shorthair
46742726,Adult,Female,Small,American Shorthair
46742731,Adult,Female,Small,American Shorthair
46742732,Adult,Male,Small,American Shorthair
46742721,Adult,Male,Small,American Shorthair
46742438,Young,Female,Medium,American Shorthair
46742444,Baby,Male,Medium,American Shorthair
46742435,Senior,Female,Medium,American Shorthair
46741870,Baby,Male,Medium,American Shorthair
46741340,Young,Male,Medium,American Shorthair
46740956,Baby,Male,Medium,American Shorthair
46740644,Young,Female,Medium,American Shorthair
46740273,Baby,Female,Medium,American Shorthair
46739987,Adult,Male,Small,American Shorthair
46739618,Baby,Male,Small,American Shorthair
46738892,Baby,Female,Small,American Shorthair
46738877,Baby,Female,Small,American Shorthair
46732886,Adult,Male,Large,American Shorthair
46731693,Young,Male,Small,American Shorthair
46731524,Young,Male,Medium,American Shorthair
46731143,Baby,Male,Medium,American Shorthair
46730860,Young,Female,Small,American Shorthair
46730339,Baby,Male,Medium,American Shorthair
46730301,Adult,Female,Medium,American Shorthair
46728604,Baby,Male,Small,American Shorthair
46728588,Baby,Male,Small,American Shorthair
46724854,Adult,Female,Medium,American Shorthair
46722574,Baby,Female,Small,American Shorthair
46721520,Young,Male,Medium,American Shorthair
46718419,Young,Male,Medium,American Shorthair
46717947,Young,Female,Medium,American Shorthair
46717914,Young,Female,Large,American Shorthair
46717866,Young,Female,Medium,American Shorthair
46717865,Young,Female,Medium,American Shorthair
46717696,Baby,Male,Small,American Shorthair
46717698,Baby,Female,Small,American Shorthair
46715909,Senior,Female,Large,American Shorthair
46711979,Baby,Female,Small,American Shorthair
46711880,Baby,Female,Small,American Shorthair
46710564,Young,Male,Medium,American Shorthair
46710101,Young,Male,Medium,American Shorthair
46709374,Young,Female,Medium,American Shorthair
46708536,Baby,Female,Medium,American Shorthair
46708210,Baby,Male,Small,American Shorthair
46708209,Baby,Female,Small,American Shorthair
46708207,Baby,Male,Small,American Shorthair
46705460,Adult,Female,Small,American Shorthair
46705443,Adult,Male,Large,American Shorthair
46705178,Baby,Male,Medium,American Shorthair
46705143,Baby,Male,Medium,American Shorthair
46705121,Baby,Female,Medium,American Shorthair
46703379,Adult,Male,Medium,American Shorthair
46702188,Adult,Female,Medium,American Shorthair
46698282,Baby,Female,Small,American Shorthair
46698162,Baby,Female,Small,American Shorthair
46698161,Baby,Female,Small,American Shorthair
46697427,Baby,Female,Small,American Shorthair
46697426,Baby,Female,Small,American Shorthair
46696767,Adult,Male,Medium,American Shorthair
46696937,Adult,Female,Medium,American Shorthair
46694371,Adult,Female,Medium,American Shorthair
46691538,Baby,Male,Medium,American Shorthair
46691543,Adult,Female,Small,American Shorthair
46691541,Adult,Female,Small,American Shorthair
46690102,Young,Male,Medium,American Shorthair
46687830,Senior,Female,Medium,American Shorthair
46687823,Young,Female,Medium,American Shorthair
46708224,Young,Female,Small,American Wirehair
46001142,Baby,Male,Medium,American Wirehair
45995606,Baby,Male,Medium,American Wirehair
45993181,Baby,Male,Medium,American Wirehair
45810845,Adult,Female,Large,American Wirehair
45809174,Young,Female,Small,American Wirehair
44742324,Adult,Male,Small,American Wirehair
44539303,Baby,Male,Large,American Wirehair
42021790,Adult,Male,Medium,American Wirehair
41904440,Adult,Female,Medium,American Wirehair
40741196,Adult,Male,Small,American Wirehair
38444660,Adult,Male,Large,American Wirehair
36508885,Young,Female,Medium,American Wirehair
46721209,Baby,Male,Small,Applehead Siamese
46721208,Baby,Male,Small,Applehead Siamese
45896276,Baby,Female,Small,Applehead Siamese
45391602,Adult,Female,Small,Applehead Siamese
45291239,Baby,Female,Small,Applehead Siamese
44042533,Senior,Female,Large,Applehead Siamese
43725916,Adult,Male,Extra Large,Applehead Siamese
42530020,Baby,Female,Medium,Applehead Siamese
42529983,Baby,Female,Medium,Applehead Siamese
42362599,Baby,Female,Small,Applehead Siamese
42354347,Baby,Female,Small,Applehead Siamese
39296793,Adult,Female,Medium,Applehead Siamese
39209913,Baby,Female,Medium,Applehead Siamese
39209909,Baby,Male,Medium,Applehead Siamese
39078126,Adult,Male,Medium,Applehead Siamese
38424529,Adult,Male,Medium,Applehead Siamese
37911862,Baby,Male,Medium,Applehead Siamese
37629748,Young,Male,Medium,Applehead Siamese
37371685,Adult,Female,Medium,Applehead Siamese
37294589,Senior,Male,Large,Applehead Siamese
37004159,Baby,Female,Medium,Applehead Siamese
36991534,Baby,Male,Medium,Applehead Siamese
36458527,Adult,Male,Medium,Applehead Siamese
36199982,Baby,Male,Medium,Applehead Siamese
36199981,Young,Male,Medium,Applehead Siamese
36199976,Baby,Male,Medium,Applehead Siamese
36075357,Senior,Female,Medium,Applehead Siamese
35954013,Adult,Female,Small,Applehead Siamese
35886927,Baby,Female,Medium,Applehead Siamese
35610972,Baby,Male,Large,Applehead Siamese
35490549,Senior,Male,Medium,Applehead Siamese
35490533,Senior,Male,Medium,Applehead Siamese
35164992,Senior,Female,Medium,Applehead Siamese
35119009,Young,Female,Small,Applehead Siamese
